sub_id,char_id,sub_start_date,sub_type,sub_months,sub_size,price,num_hard_currency,num_soft_currency
1282483,0,2018-05-01,soft,4,500,4.147662926364485,15,150
1198430,1,2017-05-01,soft,3,600,1.1049788321622473,18,180
2151644,2,2017-05-01,soft,2,400,1.2553899717113024,12,120
2101892,3,2017-03-01,balanced,5,500,5.116138687300301,30,100
342604,4,2017-04-01,soft,3,200,5.038554394683048,6,60
845952,5,2017-12-01,balanced,3,900,3.458611881950372,54,180
1300241,6,2017-06-01,soft,3,700,0.8325187160397037,21,210
2668849,7,2017-09-01,soft,3,400,2.0864356441618175,12,120
48726,8,2018-04-01,soft,8,500,4.660631568806413,15,150
2703865,9,2018-05-01,balanced,5,400,4.66379743475495,24,80
2795453,10,2017-03-01,balanced,3,200,2.109694358327874,12,40
2280669,11,2017-06-01,balanced,5,300,17.09247781012544,18,60
558379,12,2017-11-01,hard,3,600,6.445021676394589,54,60
2572279,13,2017-10-01,soft,4,300,1.635224992698841,9,90
2510721,14,2017-06-01,balanced,6,600,6.13710874898988,36,120
514354,15,2018-02-01,hard,4,300,1.6715047470607354,27,30
107202,16,2017-06-01,hard,3,200,2.714549915166178,18,20
2250144,17,2017-06-01,soft,3,500,6.350650559991967,15,150
842842,18,2017-12-01,balanced,6,800,2.7866890495390457,48,160
122343,19,2018-01-01,soft,3,400,0.5246573471523203,12,120
43394,20,2017-10-01,hard,0,100,2.8500917020600838,9,10
1320721,21,2017-09-01,soft,4,600,1.0463493746682335,18,180
726839,22,2017-08-01,hard,3,1100,2.1661121428650483,99,110
1354380,23,2017-02-01,hard,9,900,3.5576749378080663,81,90
1394761,24,2017-07-01,balanced,5,1000,7.057353828479155,60,200
177324,25,2017-04-01,soft,7,100,3.095026502482467,3,30
1345381,26,2017-07-01,hard,5,500,2.220622216765335,45,50
2582435,27,2017-05-01,balanced,4,200,9.986997847056212,12,40
2714804,28,2017-08-01,hard,8,700,3.540109369142027,63,70
54769,29,2017-11-01,soft,5,400,1.3565168334093798,12,120
689071,30,2017-02-01,balanced,1,300,7.576360403741002,18,60
2616365,31,2017-11-01,soft,3,200,3.6122993602714635,6,60
151191,32,2017-11-01,balanced,2,300,2.8136248547848406,18,60
280695,33,2017-06-01,hard,5,500,0.4950469040574102,45,50
848457,34,2017-03-01,balanced,3,500,7.401307644919579,30,100
2599073,35,2018-05-01,hard,3,600,5.047726601232763,54,60
9849,36,2017-10-01,balanced,2,800,3.102853972414857,48,160
395246,37,2018-01-01,balanced,4,700,1.3270715205245323,42,140
184370,38,2017-05-01,balanced,3,200,0.31168331818204814,12,40
2108823,39,2017-08-01,balanced,4,1000,7.6373373911912,60,200
444002,40,2017-04-01,hard,8,800,0.33132335526644785,72,80
1299593,41,2017-07-01,hard,3,900,6.1411832809422995,81,90
1978900,42,2017-11-01,soft,3,1200,6.281525765259236,36,360
1578018,43,2017-01-01,soft,5,300,0.40977580078828657,9,90
1646005,44,2017-11-01,balanced,2,800,0.6572213505147992,48,160
1616276,45,2017-04-01,balanced,2,800,4.214747496356949,48,160
1191859,46,2017-06-01,hard,3,800,0.5709962579435772,72,80
1865808,47,2017-08-01,balanced,3,500,5.269092813506965,30,100
126086,48,2018-03-01,hard,3,500,5.637354620220539,45,50
2290193,49,2017-12-01,balanced,2,100,2.976900620327443,6,20
1628768,50,2017-07-01,balanced,4,600,0.3353865454609608,36,120
2831204,51,2017-09-01,soft,6,600,17.652758573709747,18,180
1290573,52,2017-05-01,soft,5,700,3.1637953451793583,21,210
2498256,53,2017-08-01,soft,6,400,7.604363009168547,12,120
2948693,54,2018-01-01,balanced,5,800,3.6042567548971727,48,160
1768095,55,2018-06-01,balanced,3,400,1.3108152760699077,24,80
1472517,56,2017-08-01,soft,5,500,1.5043686935100582,15,150
1921889,57,2018-04-01,soft,1,700,1.5394002594853977,21,210
1261919,58,2018-01-01,balanced,5,400,2.657366576279627,24,80
651648,59,2017-03-01,balanced,6,600,4.206927302572303,36,120
2452766,60,2017-04-01,soft,6,700,1.3299984610267315,21,210
1469641,61,2017-03-01,balanced,3,300,5.191324388267664,18,60
1960973,62,2017-02-01,balanced,5,500,0.7290171023513198,30,100
1588605,63,2017-02-01,soft,4,500,2.93285524837764,15,150
2308559,64,2018-05-01,balanced,3,300,1.2759859120653199,18,60
1765710,65,2018-06-01,balanced,3,300,1.4656209295386045,18,60
1770923,66,2018-05-01,balanced,3,400,10.589886234728631,24,80
1782306,67,2017-12-01,soft,5,500,6.845125461209665,15,150
385278,68,2017-06-01,balanced,7,300,2.175843168052433,18,60
111581,69,2017-09-01,hard,6,500,0.29400330967272975,45,50
2676839,70,2018-03-01,balanced,5,400,0.8578107133633882,24,80
2456894,71,2018-01-01,soft,8,300,11.814001439351696,9,90
1105976,72,2017-01-01,balanced,4,300,4.098780912753182,18,60
2100273,73,2017-08-01,balanced,4,500,2.4029403720483886,30,100
2678111,74,2017-11-01,soft,5,800,4.3320232139617545,24,240
2589351,75,2018-04-01,hard,3,600,1.1163212543407828,54,60
587956,76,2017-03-01,soft,3,300,2.7003286729495253,9,90
2617508,77,2017-01-01,hard,0,900,12.186609706796013,81,90
2176354,78,2018-04-01,balanced,4,400,3.4397935813788756,24,80
1257017,79,2018-02-01,hard,5,700,14.226331325650841,63,70
614423,80,2018-02-01,balanced,3,400,18.228094998006455,24,80
1149957,81,2017-09-01,soft,3,100,2.823057635103135,3,30
2623965,82,2018-06-01,hard,5,300,4.494925908145122,27,30
1299198,83,2017-09-01,soft,3,400,6.866130959156735,12,120
2236073,84,2018-01-01,balanced,7,500,3.2290188635686956,30,100
1597182,85,2017-05-01,balanced,0,400,0.7588307622156925,24,80
2413874,86,2018-06-01,balanced,3,600,1.8601657213697271,36,120
882996,87,2018-02-01,balanced,7,100,4.5696168785828934,6,20
832779,88,2017-05-01,balanced,7,500,2.6306213857076246,30,100
972805,89,2018-01-01,balanced,2,500,8.802854753164954,30,100
1100342,90,2018-02-01,soft,6,700,0.2507009048089473,21,210
2344847,91,2018-04-01,balanced,5,800,5.147253801788468,48,160
1967317,92,2017-07-01,soft,2,400,1.4561396329879148,12,120
1969589,93,2018-04-01,balanced,7,200,1.293303721125793,12,40
2084135,94,2017-01-01,hard,4,400,3.745594428634776,36,40
126156,95,2018-03-01,soft,5,400,2.7784963678259436,12,120
1911719,96,2017-08-01,balanced,2,200,2.9472435640780588,12,40
1031622,97,2017-12-01,hard,4,700,3.227257187844091,63,70
165093,98,2017-10-01,balanced,5,500,1.7237550377046884,30,100
1566484,99,2017-05-01,balanced,3,600,3.0472638244383323,36,120
796946,100,2017-01-01,balanced,4,300,1.016014649314404,18,60
1562480,101,2017-09-01,balanced,6,700,9.845742440981061,42,140
2348948,102,2017-07-01,soft,2,900,1.5599137221808859,27,270
1973338,103,2018-04-01,balanced,2,200,1.6080621034101066,12,40
2555070,104,2017-04-01,balanced,4,600,1.017008125305866,36,120
40193,105,2017-09-01,soft,5,400,0.801085552660472,12,120
1293058,106,2017-05-01,balanced,2,600,7.774321326595637,36,120
2387862,107,2017-02-01,balanced,3,300,11.610337694447852,18,60
1122037,108,2017-08-01,hard,4,600,0.8001778368527186,54,60
2779493,109,2018-01-01,balanced,3,200,10.002791696756056,12,40
1316258,110,2017-12-01,soft,4,300,3.5730674118035877,9,90
2889040,111,2017-01-01,balanced,3,500,2.5386747666045624,30,100
1786930,112,2017-04-01,hard,3,600,4.353282009429644,54,60
1711124,113,2017-06-01,balanced,6,700,1.7414895671956347,42,140
1073478,114,2018-03-01,balanced,1,400,1.060119804748882,24,80
1967654,115,2017-03-01,balanced,7,500,0.6207052595341452,30,100
2068575,116,2017-09-01,soft,6,100,3.0355854203496953,3,30
1546432,117,2017-11-01,soft,4,800,0.6979529142465819,24,240
2492300,118,2017-01-01,soft,5,800,13.276226154620502,24,240
2181630,119,2018-06-01,balanced,2,600,8.93068333913326,36,120
2230661,120,2017-07-01,balanced,8,700,3.8194777140609695,42,140
989034,121,2017-11-01,hard,7,800,4.060163251344374,72,80
919128,122,2017-08-01,soft,3,300,0.6904416958950621,9,90
2025835,123,2017-07-01,balanced,5,500,14.670243286308134,30,100
1747226,124,2017-09-01,balanced,5,900,3.6731185398658033,54,180
955377,125,2017-05-01,balanced,5,500,5.35690908371627,30,100
2555146,126,2017-12-01,soft,5,800,1.6421132595505978,24,240
1460779,127,2018-03-01,balanced,5,0,5.817759205069859,0,0
1791086,128,2017-07-01,soft,3,400,2.9956857192918496,12,120
168496,129,2017-04-01,balanced,5,800,3.7995994746756643,48,160
1242679,130,2017-09-01,balanced,2,600,3.312506227212644,36,120
620124,131,2018-03-01,balanced,9,100,0.9550431258947268,6,20
5459,132,2018-04-01,balanced,5,600,11.441795796032146,36,120
1389941,133,2017-12-01,hard,6,600,3.327076673168976,54,60
91768,134,2017-08-01,soft,5,700,0.7397872443841832,21,210
2273587,135,2018-06-01,soft,3,500,7.093834263678207,15,150
1823100,136,2018-02-01,balanced,7,700,9.348189699668715,42,140
785277,137,2017-07-01,hard,6,200,3.5314446569666327,18,20
616798,138,2017-12-01,balanced,3,400,3.9165470611118094,24,80
2715733,139,2017-07-01,balanced,4,500,6.737855858115548,30,100
1739363,140,2017-12-01,balanced,3,300,9.323910303509733,18,60
1531487,141,2017-06-01,balanced,3,600,1.0395192949864611,36,120
1715862,142,2017-10-01,balanced,4,600,7.483681749764783,36,120
515057,143,2017-08-01,soft,2,600,9.63664204126103,18,180
928454,144,2018-05-01,balanced,4,700,0.9448564892358458,42,140
2253695,145,2017-12-01,soft,5,600,0.34507980403864963,18,180
2260929,146,2017-11-01,balanced,1,400,4.930471864023658,24,80
2927483,147,2018-03-01,hard,4,700,5.891544446070756,63,70
533921,148,2018-02-01,balanced,3,300,0.497856010336178,18,60
704341,149,2017-01-01,soft,2,600,6.294196515115831,18,180
1518618,150,2018-03-01,soft,3,200,0.7850544452092656,6,60
407780,151,2017-08-01,balanced,5,1200,0.3543420577731151,72,240
2007432,152,2018-03-01,balanced,3,200,0.5705165866808214,12,40
1044875,153,2018-04-01,hard,6,200,2.8438405134007696,18,20
2194316,154,2017-12-01,balanced,4,700,3.0043105134088752,42,140
353257,155,2018-02-01,soft,3,1000,0.5212451072251564,30,300
436278,156,2017-08-01,soft,4,500,15.90013446127374,15,150
852010,157,2017-01-01,hard,2,400,14.34116025966008,36,40
527193,158,2018-02-01,balanced,4,200,1.9469291502326451,12,40
2818558,159,2017-09-01,soft,4,600,5.557922082505217,18,180
2018330,160,2017-11-01,balanced,3,700,2.012467394268919,42,140
1071295,161,2017-08-01,balanced,9,400,6.602644879275985,24,80
1986569,162,2018-01-01,balanced,2,500,4.917804818877385,30,100
2675646,163,2018-06-01,balanced,0,300,6.894462919444636,18,60
2288402,164,2017-08-01,hard,3,400,2.758665425183493,36,40
115687,165,2017-07-01,balanced,12,500,2.6033718502958485,30,100
2580674,166,2017-07-01,balanced,1,300,6.358625178272751,18,60
57416,167,2017-04-01,hard,4,700,36.049027100648466,63,70
2225433,168,2018-01-01,balanced,3,500,1.7188279613401098,30,100
798386,169,2017-06-01,balanced,4,300,4.161897418236549,18,60
1361749,170,2017-10-01,balanced,2,900,6.429053737607934,54,180
855962,171,2017-07-01,balanced,4,700,18.517756212575605,42,140
1242891,172,2017-05-01,balanced,6,700,6.172431805873684,42,140
1123871,173,2017-07-01,balanced,3,200,7.493106458279531,12,40
1793343,174,2017-07-01,balanced,5,700,1.6640016785842444,42,140
1649779,175,2017-04-01,balanced,4,300,2.074305403359914,18,60
321402,176,2017-12-01,balanced,2,600,2.6048149487978525,36,120
